Mean	Min	Max	Segment	Timing	Time
0.0355465912167342	0.0151785742943469	0.0705335410159429	1-4N-II	Pre-CNV	ECA
0.0489496785360501	0.0248546752795712	0.0865577220457397	2-4N-II	Pre-CNV	ECA
0.0629208389918625	0.0327643793795365	0.109313145814769	3-4N-II	Pre-CNV	ECA
0.0543522979711396	0.0262047689791372	0.0995923889866049	4-4N-II	Pre-CNV	ECA
0.0438657675176832	0.0185750776395009	0.0875029626822435	5-4N-II	Pre-CNV	ECA
0.077682795109446	0.0413162519431155	0.132946877962777	6-4N-II	Pre-CNV	ECA
0.0521992166137318	0.0225359167426965	0.102853266078514	7-4N-II	Pre-CNV	ECA
0.100333165629565	0.0550695345746856	0.167861594367422	8-4N-II	Pre-CNV	ECA/MRCA
0.077369937197993	0.0342272187032521	0.150078580882734	9-4N-II	Pre-CNV	ECA/MRCA
0.0622883611806818	0.0268916932603464	0.122732902938354	10-4N-II	Pre-CNV	ECA
0.0543210831475409	0.021874737052955	0.111812392525967	11-4N-II	Pre-CNV	ECA
0.0926469172549842	0.0206243890819616	0.261537413776475	12-4N-II	Pre-CNV	ECA/MRCA
0.108339624560953	0.0527493985955588	0.197195483255236	12-4N-III	Pre-CNV	ECA/MRCA
0.0278620125932951	0.00501521009255541	0.0863518419040401	13-4N-II	Pre-CNV	ECA
0.0903518127875405	0.0386060937884857	0.179206161075691	14-3N-II	Pre-CNV	ECA/MRCA
0.0567163561052849	0.0165668728694119	0.140104056779979	15-4N-II	Pre-CNV	ECA/MRCA
0.0558755502494477	0.015862017693193	0.140091634983865	16-3N-II	Pre-CNV	ECA/MRCA
0.0857817134832282	0.0333482860444441	0.18040636816602	17-4N-II	Pre-CNV	ECA/MRCA
0.0157258444346	1.66991642905656e-07	0.225077569607624	18-3N-II	Pre-CNV	ECA/MRCA
0.114682609987752	0.0400224540298716	0.256998670980403	18-4N-II	Pre-CNV	ECA/MRCA
0.115873969150753	0.0441531093922344	0.24664913096658	19-4N-II	Pre-CNV	ECA/MRCA
0.0689254025983822	0.0189800313576606	0.175528859584489	20-4N-II	Pre-CNV	ECA/MRCA
0.0244755415912878	0.000338392764935351	0.154176665991691	22-4N-II	Pre-CNV	ECA/MRCA
