Mean	Min	Max	Segment	Timing	Time
0.0467171621938558	0.0219200859837165	0.0871802322622988	1-3N-II	Pre-CNV	MRCA
0.0509898726100302	0.0262622284368312	0.0892714167865788	2-3N-II	Pre-CNV	MRCA
0.0178610488601113	0.00410705073266096	0.0496680484053339	4-3N-II	Pre-CNV	MRCA
0.0490378433358596	0.0190638302752791	0.103130828934146	6-3N-II	Pre-CNV	MRCA
0.0309896979783262	0.00967534319886148	0.0738861731979328	7-3N-II	Pre-CNV	MRCA
0.0383201121920917	0.0124424361223344	0.0894263588748454	12-3N-II	Pre-CNV	MRCA
0.0330371331312618	0.00720126365131482	0.0941668941780701	13-4N-II	Pre-CNV	MRCA
0.0389784409547036	0.00904314271910264	0.107939446292427	14-3N-II	Pre-CNV	MRCA
0.0384679787133593	0.00778791307474437	0.113343547959519	15-3N-II	Pre-CNV	MRCA
0.013883263936296	0.000373931933654258	0.0763075214205493	17-3N-II	Pre-CNV	MRCA
0.0136129137218021	0.000344649135715289	0.0758463007694999	18-3N-II	Pre-CNV	MRCA
