Time	Time.lo	Time.up	SegNo	SegId
0.741850330114364	0.504323333003467	0.854235875598267	1	1_4N_II
0.545693281256887	0.226692561469079	0.982274181437032	2	1_4N_II
0.752062834859478	0.604190397579373	0.927681786867999	3	2_4N_II
0.673538167411039	0.449095622987887	0.827566162809118	4	3_4N_II
0.63070032448784	0.323166625308298	0.782331086634415	5	9_4N_II
0.698885714232697	0.468184420981023	0.936354872455996	6	10_4N_II
0.646725685568366	0.391692781084099	0.844965599225983	7	11_4N_II
0.411534808600931	0.123419243017163	0.638091970870541	8	12_4N_II
0.999999999999999	0.491314159684382	1	9	14_4N_II
0.589261530285575	0.200616819819028	0.85336697460472	10	15_4N_II
0.539524271239387	0.0455430918414151	0.857103751429012	11	16_4N_II
0.886835159366011	0.442884071453976	0.999955588278542	12	18_4N_II
0.922315678258349	0.188230126275972	1	13	20_4N_II
0.920071022642187	0.429366905535861	1	14	22_4N_II
