VAF	Data	Mmin	Mmax	CN
0.1	51	48.1213005035682	61.049361136803	3
0.15	27	13.1824050826591	19.4941633933712	3
0.2	4	2.07156860781061	5.15716837582576	3
0.25	0	0	0.937058497878788	3
0.3	0	0	0.204144887037878	3
0.35	0	0	0	3
0.4	0	0	0	3
0.45	0	0	0	3
0.5	0	0	0	3
0.55	0	0	0	3
0.6	0	0	0	3
0.65	0	0	0	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
0.1	345	294.483634615038	371.419953080417	4
0.15	48	63.1667866520151	98.6816446624394	4
0.2	0	6.37687333979545	18.8108358106061	4
0.25	0	0	3.00973372969697	4
0.3	0	0	0.752433432424242	4
0.35	0	0	0	4
0.4	0	0	0	4
0.45	0	0	0	4
0.5	0	0	0	4
0.55	0	0	0	4
0.6	0	0	0	4
0.65	0	0	0	4
0.7	0	0	0	4
0.75	0	0	0	4
0.8	0	0	0	4
0.85	0	0	0	4
0.9	0	0	0	4
0.95	0	0	0	4
1	0	0	0	4
