x	p	B	CN	Peak
0	1.98299741430599e-16	1	1	non-amplified
0.0526315789473684	2.50282602219905e-14	1	1	non-amplified
0.105263157894737	1.49633241470044e-12	1	1	non-amplified
0.157894736842105	5.63262273247957e-11	1	1	non-amplified
0.210526315789474	1.49666832605886e-09	1	1	non-amplified
0.263157894736842	2.98264616407443e-08	1	1	non-amplified
0.315789473684211	4.62310155431539e-07	1	1	non-amplified
0.368421052631579	5.70339773384419e-06	1	1	non-amplified
0.421052631578947	5.68302845622333e-05	1	1	non-amplified
0.473684210526316	0.0004614077865648	1	1	non-amplified
0.526315789473684	0.00306506601075189	1	1	non-amplified
0.578947368421053	0.016658832798697	1	1	non-amplified
0.631578947368421	0.0737748309656582	1	1	non-amplified
0.684210526315789	0.263886895377163	1	1	non-amplified
0.736842105263158	0.75126983479825	1	1	non-amplified
0.789473684210526	1.66352606276756	1	1	non-amplified
0.842105263157895	2.76264149709613	1	1	non-amplified
0.894736842105263	3.23855872978917	1	1	non-amplified
0.947368421052632	2.39036477674915	1	1	non-amplified
1	0.835729038487486	1	1	non-amplified
0	1.63786347108002e-07	1	2	non-amplified
0.0294117647058824	4.84011616407012e-06	1	2	non-amplified
0.0588235294117647	6.94126939604263e-05	1	2	non-amplified
0.0882352941176471	0.00064352703185741	1	2	non-amplified
0.117647058823529	0.00433478605804886	1	2	non-amplified
0.147058823529412	0.0226057067326286	1	2	non-amplified
0.176470588235294	0.0949650951057621	1	2	non-amplified
0.205882352941176	0.330159022236857	1	2	non-amplified
0.235294117647059	0.9684921785476	1	2	non-amplified
0.264705882352941	2.43179032993573	1	2	non-amplified
0.294117647058824	5.2840303898136	1	2	non-amplified
0.323529411764706	10.0203532965709	1	2	non-amplified
0.352941176470588	16.6927848141473	1	2	non-amplified
0.382352941176471	24.5531543707731	1	2	non-amplified
0.411764705882353	32.0108881749799	1	2	non-amplified
0.441176470588235	37.0967302214721	1	2	non-amplified
0.470588235294118	38.2885060171385	1	2	non-amplified
0.5	35.2363711229741	1	2	non-amplified
0.529411764705882	28.9245600962732	1	2	non-amplified
0.558823529411765	21.170558496436	1	2	non-amplified
0.588235294117647	13.8004341600599	1	2	non-amplified
0.617647058823529	7.99651325162351	1	2	non-amplified
0.647058823529412	4.10696028938524	1	2	non-amplified
0.676470588235294	1.86240052131406	1	2	non-amplified
0.705882352941177	0.741914226364597	1	2	non-amplified
0.735294117647059	0.257936534773487	1	2	non-amplified
0.764705882352941	0.0776034793693054	1	2	non-amplified
0.794117647058823	0.0199851120286477	1	2	non-amplified
0.823529411764706	0.00434255938940245	1	2	non-amplified
0.852941176470588	0.000780904975599923	1	2	non-amplified
0.882352941176471	0.000113121748801858	1	2	non-amplified
0.911764705882353	1.26865512674981e-05	1	2	non-amplified
0.941176470588235	1.03374643797662e-06	1	2	non-amplified
0.970588235294118	5.44539330115131e-08	1	2	non-amplified
1	1.39203292195457e-09	1	2	non-amplified
0	0	2	2	amplified
0.0294117647058824	0	2	2	amplified
0.0588235294117647	0	2	2	amplified
0.0882352941176471	0	2	2	amplified
0.117647058823529	0	2	2	amplified
0.147058823529412	0	2	2	amplified
0.176470588235294	0	2	2	amplified
0.205882352941176	0	2	2	amplified
0.235294117647059	0	2	2	amplified
0.264705882352941	0	2	2	amplified
0.294117647058824	0	2	2	amplified
0.323529411764706	0	2	2	amplified
0.352941176470588	0	2	2	amplified
0.382352941176471	0	2	2	amplified
0.411764705882353	0	2	2	amplified
0.441176470588235	0	2	2	amplified
0.470588235294118	0	2	2	amplified
0.5	0	2	2	amplified
