x	p	B	CN	Peak
0	0	1	2	non-amplified
0.0666666666666667	0	1	2	non-amplified
0.133333333333333	0	1	2	non-amplified
0.2	0	1	2	non-amplified
0.266666666666667	0	1	2	non-amplified
0.333333333333333	0	1	2	non-amplified
0.4	0	1	2	non-amplified
0.466666666666667	0	1	2	non-amplified
0.533333333333333	0	1	2	non-amplified
0.6	0	1	2	non-amplified
0.666666666666667	0	1	2	non-amplified
0.733333333333333	0	1	2	non-amplified
0.8	0	1	2	non-amplified
0.866666666666667	0	1	2	non-amplified
0.933333333333333	0	1	2	non-amplified
1	0	1	2	non-amplified
0	9.49512301988589e-18	2	2	amplified
0.0666666666666667	1.8922423732487e-15	2	2	amplified
0.133333333333333	1.75978540712129e-13	2	2	amplified
0.2	1.01313359867125e-11	2	2	amplified
0.266666666666667	4.03806105756114e-10	2	2	amplified
0.333333333333333	1.18026756053859e-08	2	2	amplified
0.4	2.61344959833545e-07	2	2	amplified
0.466666666666667	4.46419859960564e-06	2	2	amplified
0.533333333333333	5.93100671090465e-05	2	2	amplified
0.6	0.000612870693460149	2	2	amplified
0.666666666666667	0.00488545495643947	2	2	amplified
0.733333333333333	0.0295030721395371	2	2	amplified
0.8	0.130656462332236	2	2	amplified
0.866666666666667	0.400584098798833	2	2	amplified
0.933333333333333	0.760292269148806	2	2	amplified
1	0.673401724103229	2	2	amplified
0	0.000380899285343725	1	3	non-amplified
0.037037037037037	0.00478219052749047	1	3	non-amplified
0.0740740740740741	0.0289083417386799	1	3	non-amplified
0.111111111111111	0.112019824237385	1	3	non-amplified
0.148148148148148	0.312535309622305	1	3	non-amplified
0.185185185185185	0.668513027282108	1	3	non-amplified
0.222222222222222	1.139814711516	1	3	non-amplified
0.259259259259259	1.59004152256481	1	3	non-amplified
0.296296296296296	1.8484232699816	1	3	non-amplified
0.333333333333333	1.81453551003193	1	3	non-amplified
0.37037037037037	1.51876622189673	1	3	non-amplified
0.407407407407407	1.0914406349176	1	3	non-amplified
0.444444444444444	0.676693193648914	1	3	non-amplified
0.481481481481481	0.363071925053937	1	3	non-amplified
0.518518518518518	0.16882844515008	1	3	non-amplified
0.555555555555556	0.0680378633954823	1	3	non-amplified
0.592592592592593	0.0237282048591745	1	3	non-amplified
0.62962962962963	0.00713939810909869	1	3	non-amplified
0.666666666666667	0.00184434451151717	1	3	non-amplified
0.703703703703704	0.000406241146352596	1	3	non-amplified
0.740740740740741	7.55608532215828e-05	1	3	non-amplified
0.777777777777778	1.17119322493453e-05	1	3	non-amplified
0.814814814814815	1.4852859534397e-06	1	3	non-amplified
